iter	Passed	Remaining
412	3515	39044
413	3524	39046
414	3531	39020
415	3539	39006
416	3547	38984
417	3556	38981
418	3563	38960
419	3573	38965
420	3581	38952
421	3589	38939
422	3596	38911
423	3603	38895
424	3612	38891
425	3622	38897
426	3629	38868
427	3638	38862
428	3648	38874
429	3655	38855
430	3662	38824
431	3670	38811
432	3677	38784
433	3685	38769
434	3692	38750
435	3701	38750
436	3710	38745
437	3718	38728
438	3725	38708
439	3735	38711
440	3741	38679
441	3750	38677
442	3757	38647
443	3767	38663
444	3775	38644
445	3784	38643
446	3792	38630
447	3803	38648
448	3814	38658
449	3821	38638
450	3828	38615
451	3837	38611
452	3848	38627
453	3856	38613
454	3863	38597
455	3870	38571
456	3877	38543
457	3884	38519
458	3891	38504
459	3901	38505
460	3912	38526
461	3920	38505
462	3932	38536
463	3939	38507
464	3953	38558
465	3961	38543
466	3968	38517
467	3975	38493
468	3982	38470
469	3988	38439
470	3996	38431
471	4003	38405
472	4016	38437
473	4022	38409
474	4030	38393
475	4036	38365
476	4044	38346
477	4051	38323
478	4057	38296
479	4065	38280
480	4071	38251
481	4080	38245
482	4087	38221
483	4095	38210
484	4102	38191
485	4111	38190
486	4118	38168
487	4127	38159
488	4134	38141
489	4143	38139
490	4149	38109
491	4160	38123
492	4167	38098
493	4179	38122
494	4194	38172
495	4210	38235
496	4225	38287
497	4239	38324
498	4258	38412
499	4273	38465
500	4283	38462
501	4294	38480
502	4304	38487
503	4312	38473
504	4324	38492
505	4337	38520
506	4343	38493
507	4351	38479
508	4359	38461
509	4366	38442
510	4375	38439
511	4383	38428
512	4391	38406
513	4402	38424
514	4409	38401
515	4417	38383
516	4424	38363
517	4434	38368
518	4441	38344
519	4450	38341
