iter	Logloss
0	0.6582655299
1	0.6278016039
2	0.6015759966
3	0.5783629269
4	0.5569329724
5	0.539554289
6	0.5241485412
7	0.5104972117
8	0.4977820218
9	0.4870172176
10	0.4775906434
11	0.4669582657
12	0.458664333
13	0.451323611
14	0.444900521
15	0.4393679364
16	0.433509597
17	0.4281856409
18	0.4222129149
19	0.4175266711
20	0.4136894406
21	0.4090690091
22	0.4050501096
23	0.4016218514
24	0.3979819913
25	0.3956038251
26	0.3933565153
27	0.3909673915
28	0.3885281233
29	0.3856777114
30	0.3835774272
31	0.3814413303
32	0.379708894
33	0.3779206007
34	0.3758247263
35	0.3738979596
36	0.3718412052
37	0.3702468413
38	0.3682943176
39	0.3669857198
40	0.3649760363
41	0.3637797873
42	0.3623882058
43	0.3612705976
44	0.3596996522
45	0.3582826144
46	0.3563144895
47	0.3550170163
48	0.3537425609
49	0.3520362491
50	0.3505547017
51	0.348985293
52	0.3480992978
53	0.3467831833
54	0.3457189601
55	0.343674299
56	0.3424872705
57	0.3413640499
58	0.3401413423
59	0.3390032889
60	0.3378121512
61	0.3371144395
62	0.3347389125
63	0.3333723197
64	0.3324953778
65	0.3314686041
66	0.3308621946
67	0.3295447439
68	0.3285454644
69	0.3278565054
70	0.3273012425
71	0.3261792914
72	0.3258450179
73	0.3249029985
74	0.3240129276
75	0.3231879674
76	0.322567293
77	0.3218293255
78	0.3206757377
79	0.3194107699
80	0.3187269222
81	0.317659993
82	0.3169947532
83	0.3157609544
84	0.3144207867
85	0.3136514164
86	0.3131086812
87	0.3125399886
88	0.3116185147
89	0.3109589208
90	0.3100868563
91	0.3093327865
92	0.3085292071
93	0.3070775592
94	0.3065226638
95	0.3057599749
96	0.3055094201
97	0.3046666204
98	0.3038511146
99	0.3026193202
100	0.3019272878
101	0.3012371262
102	0.3005120205
103	0.3000491288
104	0.2995528632
105	0.298964193
106	0.2983721152
107	0.2972144851
108	0.2964109725
109	0.2956786842
110	0.2952574848
111	0.2943678482
112	0.2939453459
113	0.2934476772
114	0.2923759039
115	0.2917430692
116	0.2903460089
117	0.2896718828
118	0.2890041708
119	0.2880021186
120	0.287648736
121	0.2870482396
122	0.2867863263
123	0.2858569349
124	0.2853984196
125	0.2846937592
126	0.2840698443
127	0.2831405865
128	0.282229068
129	0.2819241595
130	0.2811484084
131	0.2804376678
132	0.2799696982
133	0.2795760265
134	0.2787972687
135	0.277880973
136	0.2772307832
137	0.2767957699
138	0.2762162199
139	0.2756561964
140	0.2749622431
141	0.2740628849
142	0.2734386191
143	0.2726884079
144	0.2722348201
145	0.2716788891
