iter	Logloss
146	0.2709549526
147	0.269902305
148	0.2695421408
149	0.2688046744
150	0.2681317008
151	0.2670835966
152	0.2662511198
153	0.2655716151
154	0.264589958
155	0.2639603805
156	0.2634225562
157	0.262306418
158	0.2611874401
159	0.2603649856
160	0.2598903846
161	0.2592131516
162	0.2589565668
163	0.2586973093
164	0.2581653814
165	0.2576554522
166	0.257096882
167	0.2565678438
168	0.2560923576
169	0.2553930089
170	0.2546692396
171	0.2540975403
172	0.2535219991
173	0.2523208727
174	0.2511950964
175	0.2505206529
176	0.2499576061
177	0.2495573531
178	0.2488520246
179	0.248484444
180	0.2479814134
181	0.2474815064
182	0.2467568183
183	0.2457226616
184	0.2449684247
185	0.2443635186
186	0.2437477049
187	0.2429045545
188	0.2423899817
189	0.2415437745
190	0.2409001827
191	0.2402477713
192	0.2395808612
193	0.2389460889
194	0.2385404907
195	0.2381115743
196	0.2375494963
197	0.2366866188
198	0.2364914199
199	0.2359895085
200	0.2355579529
201	0.2350245383
202	0.2345684784
203	0.2341171958
204	0.2335690152
205	0.2332293464
206	0.2327395451
207	0.2323551773
208	0.231710934
209	0.2311759494
210	0.2307480017
211	0.2302381393
212	0.2299766102
213	0.2294528337
214	0.2291294008
215	0.2286393323
216	0.2282346027
217	0.2276898631
218	0.2268435557
219	0.2263959813
220	0.225926525
221	0.2254366569
222	0.2249465383
223	0.224593707
224	0.2242470393
225	0.2239338291
226	0.2235858752
227	0.2229964032
228	0.2225085229
229	0.2219844624
230	0.2216919146
231	0.2210681333
232	0.2206304641
233	0.2203927377
234	0.2200556579
235	0.2195742586
236	0.2191400303
237	0.218376974
238	0.2178888096
239	0.217491413
240	0.2169874637
241	0.2164497396
242	0.2161177211
243	0.2156777969
244	0.2151879956
245	0.2148730816
246	0.2145929279
247	0.2142051024
248	0.213857917
249	0.2130871769
250	0.212767185
251	0.212338185
252	0.2118797198
253	0.2112682324
254	0.2107245952
255	0.2102756511
256	0.2099551246
257	0.209560885
258	0.2089652493
259	0.2084161334
260	0.2080125563
261	0.2076582384
262	0.2072111651
263	0.206699482
264	0.2060152669
265	0.2055722859
266	0.2050787263
267	0.2043636429
268	0.2039534345
269	0.203477848
270	0.2030947664
271	0.2027613948
272	0.2018322373
273	0.2013091456
274	0.2008945442
275	0.2006114006
276	0.2001537037
277	0.1995052511
278	0.1992210384
279	0.1989502387
280	0.1982460962
281	0.1976299651
282	0.1972556362
283	0.1965861036
284	0.1962393858
285	0.1958232978
286	0.1952387367
287	0.1947952379
288	0.1944582083
289	0.1940336013
290	0.193621589
291	0.1932320931
292	0.1929883534
293	0.1925153727
294	0.1922147904
295	0.191750195
296	0.1915634648
297	0.191057795
298	0.1905239128
299	0.1902619995
300	0.1897888685
301	0.1894430527
302	0.1889451501
303	0.1886725465
304	0.1883816523
305	0.1880672895
306	0.1877239125
307	0.1875066815
308	0.1872001193
309	0.1869244087
310	0.1863380269
311	0.1859884361
312	0.1857938552
313	0.1854630227
314	0.1851315052
315	0.1847010353
316	0.1843414557
317	0.1840903831
318	0.1836198578
319	0.1832916143
320	0.1829768172
321	0.1828176982
322	0.1822057598
323	0.1817796996
324	0.181507547
325	0.1811345042
326	0.180674235
327	0.1804767143
328	0.1802655133
329	0.1798566412
330	0.1795098399
331	0.1792367853
332	0.1790860348
333	0.1786603588
334	0.1781996553
335	0.177923878
336	0.1777079331
337	0.1774267939
338	0.1771102262
339	0.1769030675
340	0.1765078757
341	0.1762389302
342	0.1758756089
343	0.1754298552
344	0.1751954695
345	0.1749091856
346	0.1746800782
347	0.174216201
348	0.173983018
349	0.1737906921
350	0.1733220042
351	0.1728807605
352	0.1727064913
353	0.1723718001
354	0.1720739071
355	0.1716496176
356	0.17111784
357	0.1707547861
358	0.1704336082
359	0.1700948581
360	0.1697288977
361	0.1694639777
362	0.169202816
363	0.1687206149
364	0.1682794547
365	0.1679472023
366	0.1676304175
367	0.1671061732
368	0.1668130241
369	0.1665841339
370	0.1662407903
371	0.1660947669
372	0.1657080606
373	0.1652193952
374	0.1649146871
375	0.1646994772
376	0.1642505498
377	0.1638336265
378	0.1635084231
379	0.163217295
380	0.1630702194
381	0.1626030014
382	0.1620693864
383	0.1617753687
384	0.1615238117
385	0.1611986917
386	0.1608674749
387	0.1604959021
388	0.1601399138
389	0.1598304953
390	0.1596021898
391	0.1594259328
392	0.1592325045
393	0.1590492821
394	0.1588352247
395	0.1586113289
396	0.1583314759
397	0.1580708321
398	0.1578356279
399	0.1575592492
400	0.1574338382
401	0.1570700158
402	0.1566391618
403	0.1564618023
404	0.1562399778
405	0.1560507588
406	0.1558453038
407	0.1555036306
408	0.1553901292
409	0.155220988
410	0.1550745137
411	0.1548085247
412	0.154555648
413	0.1543916014
414	0.1541953168
415	0.1540107414
416	0.1537560273
417	0.1535448764
418	0.1531719172
419	0.1529793241
420	0.1526718933
421	0.1524621121
422	0.1523009552
423	0.1519634412
424	0.1517645341
425	0.1515224981
426	0.1513382401
427	0.1510425854
428	0.1507732389
429	0.1505052956
430	0.1503932308
431	0.1502203813
432	0.1500288906
433	0.1498028401
434	0.1496623623
435	0.149200406
436	0.1489251131
437	0.148693233
438	0.1483746776
439	0.148135832
440	0.1479059897
441	0.1476692154
442	0.1472801371
443	0.1469883911
444	0.1467428641
445	0.1466228817
446	0.1463372492
447	0.1459994011
448	0.1457226048
449	0.1455393156
450	0.1452804089
451	0.1449825995
452	0.1446772065
453	0.1443979047
454	0.1441921157
455	0.143815916
456	0.1434185861
457	0.1432641608
458	0.1429665518
459	0.1427730901
460	0.1425179918
461	0.1423665899
462	0.1420302618
463	0.1417768841
464	0.141455038
465	0.1412593547
466	0.1410956255
467	0.1409744071
468	0.1407761514
469	0.1406094823
470	0.1403440946
471	0.1401391241
472	0.1397424123
473	0.1396372544
474	0.1393808616
475	0.1391170525
476	0.1388708322
477	0.1387298701
478	0.1386055865
479	0.1383910448
480	0.1380626426
481	0.1378523436
482	0.1376742826
483	0.1375703775
484	0.1373857103
485	0.1372021204
486	0.1370509022
487	0.1369008115
488	0.1367325472
489	0.1365757667
490	0.1363585357
491	0.1360609768
492	0.1359401091
493	0.1357811655
494	0.1356716897
495	0.1354782196
496	0.1352957406
497	0.1351189073
498	0.1349425084
499	0.1345588672
500	0.1342868314
501	0.1341018551
502	0.1339127698
503	0.1337427349
504	0.1335685492
505	0.1333482781
506	0.1330931298
507	0.1328869231
508	0.1326457808
509	0.1324722967
510	0.1322170982
511	0.131970427
512	0.1318111242
513	0.1315458702
514	0.1313918541
515	0.1311365137
516	0.1308642024
517	0.1307213694
518	0.1305642882
519	0.1303839222
